I dati analizzati provengono dal file: data/1952.txt
Sono stai analizzati i seguinti 365 valori.

        da file       ordinati
n.1    -1.6639        -8.2602
n.2    -0.9373        -6.6928
n.3    -1.0349        -6.6916
n.4    -1.3783        -6.5542
n.5    -2.3084        -6.3084
n.6    -1.8000        -6.2386
n.7    -2.0988        -5.8651
n.8    -0.9241        -5.8205
n.9    -0.2386        -5.7253
n.10    -0.1048        -5.6892
n.11    -0.1229        -5.4699
n.12    -0.1639        -5.3446
n.13     0.0494        -5.2108
n.14    -1.5108        -5.1072
n.15    -1.1096        -5.0976
n.16    -0.5675        -4.9361
n.17     0.7831        -4.9253
n.18     1.5434        -4.9133
n.19    -0.2831        -4.8988
n.20     0.0434        -4.8855
n.21    -2.8349        -4.8771
n.22    -2.3265        -4.5783
n.23    -1.4518        -4.4964
n.24    -1.0494        -4.4687
n.25    -1.1229        -4.4614
n.26    -3.4795        -4.4048
n.27    -3.4048        -4.4000
n.28    -4.1807        -4.3795
n.29    -6.5542        -4.3627
n.30    -4.0217        -4.3205
n.31    -4.4000        -4.3157
n.32    -4.3205        -4.2675
n.33    -5.6892        -4.1807
n.34    -8.2602        -4.1711
n.35    -6.6928        -4.1373
n.36    -3.3217        -4.0988
n.37    -4.4964        -4.0651
n.38    -5.7253        -4.0542
n.39    -3.8458        -4.0361
n.40    -1.6301        -4.0217
n.41    -3.1108        -3.9337
n.42    -2.4205        -3.9241
n.43    -1.2494        -3.8855
n.44    -0.0169        -3.8602
n.45     0.5867        -3.8458
n.46    -0.6663        -3.8289
n.47    -2.6157        -3.8193
n.48    -2.4422        -3.8072
n.49    -2.7422        -3.7578
n.50    -2.2120        -3.7506
n.51    -1.4181        -3.7145
n.52    -0.3434        -3.6747
n.53     0.1952        -3.6361
n.54     0.8614        -3.6241
n.55    -0.0892        -3.6084
n.56    -0.3964        -3.5518
n.57    -1.0602        -3.5253
n.58    -0.5205        -3.4795
n.59     0.8241        -3.4048
n.60     1.8181        -3.3470
n.61     0.9602        -3.3217
n.62     2.0687        -3.2470
n.63     3.7940        -3.2024
n.64     2.6169        -3.1735
n.65     3.6386        -3.1566
n.66    -0.1410        -3.1458
n.67    -4.0361        -3.1108
n.68    -4.9253        -3.0169
n.69    -4.4048        -2.9289
n.70    -4.0542        -2.9217
n.71    -1.3976        -2.8795
n.72    -1.6940        -2.8590
n.73    -2.1349        -2.8349
n.74    -4.8988        -2.8169
n.75    -5.1072        -2.7747
n.76    -2.6241        -2.7482
n.77    -0.6699        -2.7422
n.78    -0.0831        -2.7325
n.79     0.2627        -2.7217
n.80     2.2807        -2.7000
n.81     1.3843        -2.6241
n.82     2.8048        -2.6157
n.83     1.6627        -2.6133
n.84     2.5446        -2.5843
n.85     1.1892        -2.5843
n.86    -2.5060        -2.5373
n.87    -3.6241        -2.5060
n.88    -2.3084        -2.5012
n.89    -1.9530        -2.4627
n.90    -0.7771        -2.4458
n.91     0.6470        -2.4422
n.92    -1.3928        -2.4289
n.93    -4.4614        -2.4205
n.94    -4.0651        -2.3651
n.95    -3.8072        -2.3627
n.96    -2.4458        -2.3542
n.97    -2.1277        -2.3361
n.98     0.2133        -2.3337
n.99     1.3904        -2.3277
n.100     1.3880        -2.3265
n.101     1.8578        -2.3084
n.102     2.6096        -2.3084
n.103     2.5675        -2.2940
n.104     3.4012        -2.2602
n.105     3.6096        -2.2482
n.106     4.8952        -2.2386
n.107     4.4855        -2.2133
n.108     4.8675        -2.2120
n.109     4.2590        -2.1349
n.110     3.5361        -2.1277
n.111     2.4277        -2.1145
n.112     1.6795        -2.0988
n.113     0.0880        -2.0904
n.114    -0.2747        -2.0795
n.115     1.9699        -2.0157
n.116     2.1904        -2.0084
n.117     0.9614        -2.0024
n.118     1.4181        -1.9916
